"REF_DATE","GEO","DGUID","Age group","Sex","Primary types of cancer (ICD-O-3)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","92.6","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","93.7","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","101.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","104.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43801460","2.1.1.22.2","94.9","","","","1"
"1997","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","95","","","","0"
"1998","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","115","","","","0"
"1999","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","110","","","","0"
"2000","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","110","","","","0"
"2001","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","105","","","","0"
"2002","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","90","","","","0"
"2003","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","105","","","","0"
"2004","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","115","","","","0"
"2005","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","110","","","","0"
"2006","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","105","","","","0"
"2007","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","120","","","","0"
"2008","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","120","","","","0"
"2009","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","140","","","","0"
"2010","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","125","","","","0"
"2011","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","115","","","","0"
"2012","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","130","","","","0"
"2013","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","115","","","","0"
"2014","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","160","","","","0"
"2015","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","140","","","","0"
"2016","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","140","","","","0"
"2017","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","150","","","","0"
"2018","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","135","","","","0"
"2019","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","150","","","","0"
"2020","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43814659","3.1.1.22.1","145","","","","0"
"1997","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","69.8","","","","1"
"1998","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","84.7","","","","1"
"1999","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","80.7","","","","1"
"2000","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","80.6","","","","1"
"2001","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","76.8","","","","1"
"2002","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","65.8","","","","1"
"2003","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","76.5","","","","1"
"2004","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","83.5","","","","1"
"2005","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","79.7","","","","1"
"2006","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","76.2","","","","1"
"2007","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","87.1","","","","1"
"2008","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","86.5","","","","1"
"2009","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","100.1","","","","1"
"2010","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","88.2","","","","1"
"2011","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","79.9","","","","1"
"2012","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","89.9","","","","1"
"2013","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","79.8","","","","1"
"2014","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","110.9","","","","1"
"2015","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","96.9","","","","1"
"2016","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","95.3","","","","1"
"2017","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","99.7","","","","1"
"2018","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","88.0","","","","1"
"2019","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","95.3","","","","1"
"2020","Prince Edward Island","2016A000211","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43814660","3.1.1.22.2","89.9","","","","1"
"1997","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","690","","","","0"
"1998","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","770","","","","0"
"1999","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","815","","","","0"
"2000","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","760","","","","0"
"2001","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","785","","","","0"
"2002","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","775","","","","0"
"2003","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","780","","","","0"
"2004","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","795","","","","0"
"2005","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","840","","","","0"
"2006","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","860","","","","0"
"2007","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","885","","","","0"
"2008","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","845","","","","0"
"2009","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","860","","","","0"
"2010","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","890","","","","0"
"2011","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","880","","","","0"
"2012","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","990","","","","0"
"2013","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","915","","","","0"
"2014","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","1005","","","","0"
"2015","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","1015","","","","0"
"2016","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","955","","","","0"
"2017","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","1055","","","","0"
"2018","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","1010","","","","0"
"2019","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","","..","","","0"
"2020","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43827859","4.1.1.22.1","","..","","","0"
"1997","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","74.0","","","","1"
"1998","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","82.6","","","","1"
"1999","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","87.3","","","","1"
"2000","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","81.4","","","","1"
"2001","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","84.2","","","","1"
"2002","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","82.9","","","","1"
"2003","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","83.2","","","","1"
"2004","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","84.6","","","","1"
"2005","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","89.6","","","","1"
"2006","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","91.7","","","","1"
"2007","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","94.6","","","","1"
"2008","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","90.3","","","","1"
"2009","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","91.7","","","","1"
"2010","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","94.5","","","","1"
"2011","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","93.2","","","","1"
"2012","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","104.9","","","","1"
"2013","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","97.3","","","","1"
"2014","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","107.1","","","","1"
"2015","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","108.4","","","","1"
"2016","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","101.3","","","","1"
"2017","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","111.0","","","","1"
"2018","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","105.4","","","","1"
"2019","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","","..","","","1"
"2020","Nova Scotia","2016A000212","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43827860","4.1.1.22.2","","..","","","1"
"1997","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","525","","","","0"
"1998","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","595","","","","0"
"1999","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","600","","","","0"
"2000","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","585","","","","0"
"2001","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","600","","","","0"
"2002","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","615","","","","0"
"2003","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","625","","","","0"
"2004","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","635","","","","0"
"2005","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","665","","","","0"
"2006","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","710","","","","0"
"2007","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","705","","","","0"
"2008","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","730","","","","0"
"2009","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","715","","","","0"
"2010","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","665","","","","0"
"2011","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","645","","","","0"
"2012","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","700","","","","0"
"2013","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","770","","","","0"
"2014","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","805","","","","0"
"2015","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","765","","","","0"
"2016","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","825","","","","0"
"2017","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","830","","","","0"
"2018","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","815","","","","0"
"2019","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","775","","","","0"
"2020","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Number of new cancer cases","Number","223","units","0","v43841059","5.1.1.22.1","770","","","","0"
"1997","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","69.8","","","","1"
"1998","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","79.3","","","","1"
"1999","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","79.9","","","","1"
"2000","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","77.9","","","","1"
"2001","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","80.0","","","","1"
"2002","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","82.1","","","","1"
"2003","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","83.4","","","","1"
"2004","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","84.7","","","","1"
"2005","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","88.9","","","","1"
"2006","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","95.2","","","","1"
"2007","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","94.6","","","","1"
"2008","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","97.7","","","","1"
"2009","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","95.3","","","","1"
"2010","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","88.3","","","","1"
"2011","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","85.4","","","","1"
"2012","New Brunswick","2016A000213","Total, all ages","Both sexes","Lung and bronchus [C34.0-C34.9]","Cancer incidence rate","Rate per 100,000 population","265","units","0","v43841060","5.1.1.22.2","92.3","","","","1"
